Year,Quarter,Ticker,Open,Close
2016,1,TXN,42.39165393846997,42.247310638427734
2016,1,TXN,42.10296404085021,42.33847427368164
2016,1,TXN,42.315697026193625,42.649967193603516
2016,1,TXN,42.49041780641109,42.999420166015625
2016,1,TXN,43.14378862175223,43.371700286865234
2016,1,TXN,43.22732505544896,43.31848907470703
2016,1,TXN,43.10578385859019,43.22733688354492
2016,1,TXN,43.280513876117666,42.999420166015625
2016,1,TXN,42.915844477631595,43.075382232666016
2016,1,TXN,43.34128438279501,42.93864059448242
2016,1,TXN,42.893069423467075,43.61479187011719
2016,1,TXN,43.85790020868796,44.344112396240234
2016,1,TXN,44.15418256294859,43.62238693237305
2016,2,TXN,43.6755634673182,44.01742935180664
2016,2,TXN,43.903471467893766,43.85029220581055
2016,2,TXN,43.72114031631127,43.84269332885742
2016,2,TXN,43.75152732302773,44.33650207519531
2016,2,TXN,43.941467621577424,43.41727066040039
2016,2,TXN,43.73633656158015,43.97944259643555
2016,2,TXN,43.98704749756701,43.92626953125
2016,2,TXN,43.92626783289205,44.39728546142578
2016,2,TXN,44.61000407094024,44.95186996459961
2016,2,TXN,44.647980363828964,44.98984909057617
2016,2,TXN,45.179777552351666,44.769535064697266
2016,2,TXN,44.5492225811725,44.784732818603516
2016,2,TXN,44.72394879640601,44.382080078125
2016,2,TXN,44.51122281330002,44.860687255859375
2016,2,TXN,44.73916373588998,44.716373443603516
2016,2,TXN,44.678375466104946,44.579612731933594
2016,2,TXN,44.60240706289706,44.83791732788086
2016,2,TXN,44.93668299819296,45.126609802246094
2016,2,TXN,44.84550578819681,45.521644592285156
2016,2,TXN,45.873349577916635,44.87178039550781
2016,2,TXN,44.122522532965284,43.61027145385742
2016,2,TXN,43.80905188147261,44.229557037353516
2016,2,TXN,43.74787737071778,43.73258590698242
2016,2,TXN,43.54144825584415,43.14387893676758
2016,2,TXN,43.22034555557975,43.304447174072266
2016,2,TXN,42.99861314697634,43.73258590698242
2016,2,TXN,43.70965128631467,43.510868072509766
2016,2,TXN,43.671426683037154,44.06135177612305
2016,2,TXN,44.05370458481998,44.06135177612305
2016,2,TXN,44.18367438425312,43.702003479003906
2016,2,TXN,43.640848663455856,43.67142868041992
2016,2,TXN,43.93136395898222,44.35951614379883
2016,2,TXN,44.14544531257934,43.90843200683594
2016,2,TXN,43.75551902326488,44.351871490478516
2016,2,TXN,43.99253317039104,43.75551986694336
2016,2,TXN,43.95430361600155,44.74943923950195
2016,2,TXN,44.96352868884577,44.90236282348633
2016,2,TXN,45.10113630458262,45.94214630126953
2016,2,TXN,45.988043554698656,46.20976257324219
2016,2,TXN,46.14094783802802,46.46206283569336
2016,2,TXN,46.50028268692873,46.653194427490234
2016,2,TXN,46.65319963846301,46.33208465576172
2016,2,TXN,46.263272999387276,46.69142532348633
2016,2,TXN,46.51558405824262,46.45441818237305
2016,2,TXN,46.76788358324468,46.278568267822266
2016,2,TXN,46.39324347781194,46.859622955322266
2016,2,TXN,47.0201732787155,47.06604766845703
2016,2,TXN,47.096633715000756,47.463623046875
2016,2,TXN,47.62417548898463,47.509490966796875
2016,2,TXN,46.95137078793765,47.333648681640625
2016,2,TXN,47.24955560241436,47.04312515258789
2016,2,TXN,47.04311249743355,47.32600021362305
2016,2,TXN,47.60888715773098,47.165443420410156
2016,2,TXN,46.936072293384015,47.448326110839844
2016,2,TXN,47.46361722661607,47.11191940307617
2016,2,TXN,47.73122163039886,47.41010665893555
2016,2,TXN,47.517146041613266,47.43304443359375
2016,2,TXN,47.65475649251174,47.448326110839844
2016,2,TXN,47.89942563546222,48.396385192871094
2016,2,TXN,46.26327044905602,46.28620910644531
2016,2,TXN,45.77394788715076,45.16230392456055
2016,2,TXN,45.42226209310664,46.07978057861328
2016,2,TXN,46.40853166016916,46.829036712646484
2016,2,TXN,47.02781440041543,47.899410247802734
2016,3,TXN,47.65475637305304,47.48655319213867
2016,3,TXN,47.08898576779495,46.829036712646484
2016,3,TXN,46.630254374007635,46.683773040771484
2016,3,TXN,46.69142244803709,47.22661209106445
2016,3,TXN,47.6241830593816,48.37344741821289
2016,3,TXN,48.54928612816059,48.47283172607422
2016,3,TXN,48.75572272557417,49.22209930419922
2016,3,TXN,49.344425201416016,49.344425201416016
2016,3,TXN,49.6961173549485,49.55084991455078
2016,3,TXN,49.89491831168911,49.58144760131836
2016,3,TXN,49.5814367272558,49.84138870239258
2016,3,TXN,49.61201936261075,49.65024948120117
2016,3,TXN,49.94076719870694,50.040157318115234
2016,3,TXN,49.99429900722844,49.627315521240234
2016,3,TXN,49.7955334337369,50.07077407836914
2016,3,TXN,50.07840228130644,50.628883361816406
2016,3,TXN,54.01586313973775,54.60456848144531
2016,3,TXN,54.26815979953814,54.48987579345703
2016,3,TXN,54.29003137972897,53.982574462890625
2016,3,TXN,54.05174564653682,53.61361312866211
2016,3,TXN,53.67510613038999,53.71353530883789
2016,3,TXN,53.56751710851484,52.921844482421875
2016,3,TXN,52.91415745268218,52.94490432739258
2016,3,TXN,53.42145954338496,53.506011962890625
2016,3,TXN,53.80578226524168,53.92108154296875
2016,3,TXN,53.8288387040969,53.91339111328125
2016,3,TXN,54.12862894735531,53.99795913696289
2016,3,TXN,53.98258647200442,53.72124099731445
2016,3,TXN,53.8057861328125,53.8057861328125
2016,3,TXN,53.805787765614156,53.68280029296875
2016,3,TXN,53.951837129410656,54.0594482421875
2016,3,TXN,53.87495725262211,53.667423248291016
2016,3,TXN,53.74428747714088,53.667423248291016
2016,3,TXN,53.79041869945998,53.90571212768555
2016,3,TXN,53.89801988645619,54.01331329345703
2016,3,TXN,54.0748138906035,53.8057861328125
2016,3,TXN,54.12862053513909,53.7904167175293
2016,3,TXN,53.89034428414988,53.72892761230469
2016,3,TXN,53.72891697711681,53.667423248291016
2016,3,TXN,53.798088435039816,53.61361312866211
2016,3,TXN,53.728922981831005,53.7904167175293
2016,3,TXN,53.80577901063338,53.27540588378906
2016,3,TXN,53.31384388356321,53.45220184326172
2016,3,TXN,52.86801979964478,53.57518005371094
2016,3,TXN,53.82114634867943,53.55980682373047
2016,3,TXN,53.75198978364891,53.644378662109375
2016,3,TXN,53.61362812305361,53.41377639770508
2016,3,TXN,53.22161683360909,53.02945327758789
2016,3,TXN,52.41452761936729,51.24617004394531
2016,3,TXN,50.969452556020464,52.22236251831055
2016,3,TXN,52.27616483517454,51.8457145690918
2016,3,TXN,51.8534136196622,52.10707092285156
2016,3,TXN,52.11475037733595,53.20623779296875
2016,3,TXN,53.78272988668062,53.31385040283203
2016,3,TXN,53.67511221524069,53.45220184326172
2016,3,TXN,53.62898674657796,53.17548370361328
2016,3,TXN,53.35229307399258,53.467586517333984
2016,3,TXN,53.8134747110588,53.62131118774414
2016,3,TXN,53.80578358512288,53.021759033203125
2016,3,TXN,52.69123737325397,52.59130859375
2016,3,TXN,52.5682396090673,53.38301086425781
2016,3,TXN,53.34459836566282,53.60593795776367
2016,3,TXN,53.521383633395764,53.68280029296875
2016,3,TXN,53.76734837636673,53.94414138793945
2016,4,TXN,53.867274500329,53.54444122314453
2016,4,TXN,53.54445397098094,53.49064254760742
2016,4,TXN,53.69049240681828,54.26698303222656
2016,4,TXN,54.14399599585608,54.54369354248047
2016,4,TXN,54.574429278357485,54.47450637817383
2016,4,TXN,54.63593706654812,53.751983642578125
2016,4,TXN,53.751969564764565,52.85264587402344
2016,4,TXN,52.90646683127872,52.62206268310547
2016,4,TXN,52.19929175123646,52.0916748046875
2016,4,TXN,52.47600626483158,52.645111083984375
2016,4,TXN,52.652802325080906,52.59130859375
2016,4,TXN,53.69818096707276,53.22930145263672
2016,4,TXN,52.952585070595,53.41377639770508
2016,4,TXN,53.35995591716511,53.61361312866211
2016,4,TXN,53.35228566883199,53.78273010253906
2016,4,TXN,54.005657290451694,55.097145080566406
2016,4,TXN,55.01256494103116,54.7281608581543
2016,4,TXN,54.57444968828641,55.12019348144531
2016,4,TXN,54.88192128848903,54.36692428588867
2016,4,TXN,54.54369312135916,54.420711517333984
2016,4,TXN,54.81272095314722,54.45914077758789
2016,4,TXN,54.674384319734635,53.375362396240234
2016,4,TXN,53.475258796904534,52.91413879394531
2016,4,TXN,53.19287827167769,52.57345962524414
